,RB090_COMPONENT,RB090_DATE_OUT-RB090_DATE_IN
35497,OUTSOLE,317.9366667
35516,OUTSOLE,317.6380556
27902,OUTSOLE,317.4236111
32995,OUTSOLE,317.3119444
35552,OUTSOLE,317.1855556
28500,OUTSOLE,317.0836111
28501,OUTSOLE,317.0836111
36344,OUTSOLE,316.9672222
35581,OUTSOLE,316.895
22662,OUTSOLE,316.8283333
8446,OUTSOLE,316.8133333
34860,OUTSOLE,316.6508333
21188,OUTSOLE,316.6377778
35515,OUTSOLE,316.3441667
20334,OUTSOLE,315.9397222
589,OUTSOLE,315.9102778
35773,OUTSOLE,315.8722222
8480,OUTSOLE,315.6472222
22782,OUTSOLE,315.6341667
40853,OUTSOLE,315.5902778
7222,OUTSOLE,315.5644444
8577,OUTSOLE,315.4066667
35624,OUTSOLE,315.3944444
20654,OUTSOLE,315.2763889
20655,OUTSOLE,315.2763889
39332,OUTSOLE,315.205
8528,OUTSOLE,315.0816667
22518,OUTSOLE,315.0513889
23154,OUTSOLE,315.0294444
22713,OUTSOLE,314.9577778
679,OUTSOLE,314.8838889
13806,OUTSOLE,314.7083333
15622,OUTSOLE,314.6333333
27187,OUTSOLE,314.5997222
35999,OUTSOLE,314.5586111
36677,OUTSOLE,314.1311111
14762,OUTSOLE,313.8980556
30933,OUTSOLE,313.7091667
22855,OUTSOLE,313.4944444
42859,OUTSOLE,313.2811111
42420,OUTSOLE,312.6413889
42421,OUTSOLE,312.6413889
42422,OUTSOLE,312.6413889
30674,OUTSOLE,312.5294444
19085,OUTSOLE,311.5869444
19368,OUTSOLE,311.0730556
27185,OUTSOLE,310.7633333
14502,OUTSOLE,310.5483333
14026,OUTSOLE,310.2958333
29396,OUTSOLE,310.0597222
35335,OUTSOLE,309.6680556
7211,OUTSOLE,309.4883333
28954,OUTSOLE,309.1736111
8811,OUTSOLE,308.9633333
10519,OUTSOLE,308.4933333
10521,OUTSOLE,308.4847222
7224,OUTSOLE,307.8244444
35466,OUTSOLE,307.6811111
41414,OUTSOLE,307.4013889
41677,OUTSOLE,307.3833333
7986,OUTSOLE,307.3055556
37218,OUTSOLE,306.8791667
6152,OUTSOLE,306.7783333
28947,OUTSOLE,306.6816667
28946,OUTSOLE,306.5947222
22935,OUTSOLE,306.5944444
26649,OUTSOLE,306.5138889
41820,OUTSOLE,306.1497222
31210,OUTSOLE,306.0680556
27548,OUTSOLE,306.0222222
41902,OUTSOLE,305.6519444
35930,OUTSOLE,305.6194444
35931,OUTSOLE,305.6194444
15295,OUTSOLE,305.4083333
32696,OUTSOLE,305.1122222
6151,OUTSOLE,305.1019444
4819,OUTSOLE,304.9308333
27009,OUTSOLE,303.6705556
8710,OUTSOLE,302.4922222
43505,OUTSOLE,302.4438889
21650,OUTSOLE,302.3072222
42287,OUTSOLE,302.0838889
3532,OUTSOLE,301.9341667
42316,OUTSOLE,301.6866667
28831,OUTSOLE,300.8522222
28842,OUTSOLE,300.8252778
26141,OUTSOLE,300.6438889
35387,OUTSOLE,300.6183333
35388,OUTSOLE,300.6183333
21189,OUTSOLE,300.5777778
39322,OUTSOLE,300.55
21385,OUTSOLE,300.3805556
21388,OUTSOLE,300.375
8447,OUTSOLE,300.0330556
28084,OUTSOLE,299.8727778
40448,OUTSOLE,299.8719444
5945,OUTSOLE,299.8013889
40455,OUTSOLE,299.7919444
4886,OUTSOLE,299.7027778
4887,OUTSOLE,299.7027778
43336,OUTSOLE,299.3180556
7974,OUTSOLE,299.1633333
1774,OUTSOLE,298.9822222
27888,OUTSOLE,298.9563889
8139,OUTSOLE,298.9136111
40940,OUTSOLE,298.6641667
40941,OUTSOLE,298.6641667
33135,OUTSOLE,298.4469444
4893,OUTSOLE,298.4438889
33147,OUTSOLE,298.3486111
35553,OUTSOLE,297.8563889
21384,OUTSOLE,297.7016667
